Actor	Facebook likes	Actor Genre
Lena Olin	541	Drama
Sean Pertwee	722	Sci-Fi
Kiernan Shipka	552	Drama
Lou Taylor Pucci	394	Drama
Bridget Fonda	889	Drama
Megan Mullally	637	Comedy
Mike Starr	854	Drama
John Heard	697	Drama
Peter Coyote	548	Drama
James Pickens Jr.	270	Drama
Huey Lewis	215	Drama
Keegan-Michael Key	415	Action
Alexis Dziena	715	Comedy
Maude Apatow	130	Comedy
Frances Fisher	638	Drama
Tim McGraw	461	Drama
Gary Cole	989	Comedy
Raven-Symoné	1000	Comedy
Kevin Pollak	574	Comedy
Mhairi Calvey	906	Biography
Patrick McGoohan	466	Biography
James Robinson	403	Biography
Brian Geraghty	383	Drama
James Morrison	210	Drama
Yeardley Smith	440	Comedy
Marcia Wallace	433	Adventure
Martin Landau	940	Drama
Jeffrey DeMunn	745	Drama
Cristián de la Fuente	462	Action
David Gant	21	Adventure
Jean-Claude Dreyfus	17	Adventure
Oanh Nguyen	8	Adventure
Peter Boyle	595	Drama
Rory Culkin	710	Drama
Merritt Wever	529	Drama
Cherry Jones	242	Drama
Jennifer Saunders	309	Animation
Conrad Vernon	48	Adventure
Cheech Marin	843	Comedy
George Carlin	769	Comedy
Hector Elizondo	995	Comedy
Eve	223	Action
Leila Arcieri	212	Action
Tim Conway	870	Comedy
Billy West	861	Adventure
John Amos	982	Action
Franco Nero	576	Action
Josh Charles	1000	Drama
Nicole Beharie	898	Drama
Katia Winter	372	Thriller
Lyndie Greenwood	160	Adventure
Freddy Rodríguez	579	Drama
Bob Balaban	559	Drama
Raoul Bova	727	Action
Bridgit Mendler	1000	Animation
Chris Klein	841	Drama
Radha Mitchell	992	Thriller
LeVar Burton	1000	Thriller
Jonathan Frakes	906	Action
Michael Dorn	748	Action
Alison Lohman	1000	Drama
David Hyde Pierce	443	Comedy
Peter Gerety	277	Drama
Ron Rifkin	184	Drama
Jeremy Irvine	25000	Drama
Todd Graff	650	Adventure
John Buffalo Mailer	17	Drama
Sarah Gadon	692	Drama
Zach McGowan	423	Action
Mark Valley	774	Action
Nathaniel Parker	271	Adventure
Victor Wong	400	Adventure
Chelcie Ross	244	Drama
Brooke Smith	405	Drama
Garcelle Beauvais	384	Action
Ben Daniels	585	Action
Dexter Fletcher	452	Biography
Phill Lewis	229	Action
Tate Taylor	150	Comedy
Stephen Rea	327	Romance
Sandrine Holt	324	Action
James Martin Kelly	394	Comedy
Shane Hartline	217	Comedy
Celina Beach	66	Comedy
Rory Cochrane	407	Drama
Talisa Soto	349	Action
Gregg Henry	298	Thriller
Minnie Driver	893	Drama
Ron Howard	2000	Comedy
Brandy Norwood	509	Comedy
Lea Michele	2000	Adventure
Jim Belushi	854	Comedy
Archie Kao	326	Action
Brandon Molale	301	Action
Laurence Olivier	1000	Drama
Charlotte Rampling	844	Drama
Indira Varma	729	Crime
Neil Maskell	246	Crime
50 Cent	1000	Action
Matt Gerald	585	Action
Roxanne McKee	576	Action
Luke Newberry	358	Drama
Gaia Weiss	182	Action
Philip Baker Hall	497	Thriller
Gary Farmer	580	Drama
Vincent Pastore	584	Comedy
Robert Blake	220	Crime
Aida Turturro	97	Action
Max Minghella	614	Adventure
Ashraf Barhom	451	Drama
Rupert Evans	334	Drama
Jenna Fischer	966	Comedy
Stephen Merchant	681	Comedy
Michael Raymond-James	788	Drama
Graham McTavish	531	Drama
Simon McBurney	149	Drama
Michael Gaston	135	Drama
Kevin McNally	427	Drama
Maury Chaykin	232	Drama
Kaitlyn Dever	363	Comedy
Nancy Travis	359	Comedy
Mitch Pileggi	826	Drama
Owen Teale	112	Action
Lisa Edelstein	955	Comedy
Reece Thompson	354	Drama
Marcus Chong	145	Action
Gloria Foster	99	Action
Miko Hughes	968	Horror
Kathleen Quinlan	552	Drama
Judge Reinhold	901	Comedy
Aisha Tyler	857	Crime
Eric Lloyd	775	Comedy
Jean Stapleton	793	Comedy
Andrea Savage	105	Comedy
Tony Amendola	174	Action
Stuart Wilson	94	Action
Matt Walsh	490	Comedy
Finn Wittrock	769	Biography
Jack O'Connell	698	Drama
Alex Russell	465	Drama
Clint Eastwood	16000	Drama
Courtney B. Vance	495	Action
William Devane	416	Thriller
Leon	730	Thriller
Janine Turner	369	Action
Samantha Mathis	517	Drama
Lily Tomlin	718	Comedy
Daniel von Bargen	577	Comedy
Jay Hernandez	1000	Drama
Marian Seldes	403	Drama
Horatio Sanz	174	Comedy
Vinessa Shaw	580	Comedy
Sydney Pollack	521	Drama
Quvenzhané Wallis	2000	Drama
David Zayas	929	Drama
Gerald McRaney	523	Drama
Abigail Spencer	1000	Drama
Warren Christie	520	Action
Natasha Lyonne	1000	Comedy
Lea Thompson	1000	Adventure
Jennifer Grey	1000	Action
Maura Tierney	509	Comedy
Adrian Lester	317	Comedy
Paul Guilfoyle	210	Drama
Melina Kanakaredes	394	Action
Craig Bierko	380	Mystery
Yvonne Zima	263	Action
Pamela Reed	324	Drama
Michael Kitchen	184	Drama
Jonah Bobo	539	Comedy
Meat Loaf	783	Drama
Eugenie Bondurant	637	Drama
Kimberly Williams-Paisley	529	Drama
Frances O'Connor	575	Mystery
Michael Moore	909	Documentary
Caitlin Stasey	623	Action
Kevin Grevioux	593	Action
Ian McNeice	268	Crime
Barney Clark	85	Crime
Tony Noble	25	Crime
Bill Cobbs	970	Drama
Martin Henderson	580	Drama
Tom Goodman-Hill	221	Adventure
Michael Smiley	177	Crime
David Calder	27	Crime
Simon Chandler	16	Crime
Josh Zuckerman	522	Action
Robert Wagner	481	Crime
Dee Bradley Baker	668	Animation
Bob Peck	191	Adventure
Isabella Rossellini	812	Drama
Dean Jones	913	Action
Si Won Choi	21	Action
Peng Lin	18	Action
Sung-jun Yoo	7	Action
Brittany Daniel	862	Comedy
John Witherspoon	723	Comedy
David Keith	563	Action
Shawna Waldron	524	Comedy
Romany Malco	966	Comedy
Ice-T	867	Action
Craig Stark	46000	Crime
Elizabeth Perkins	664	Comedy
Chelsea Handler	439	Adventure
Vincent Regan	447	Action
Eric Dane	2000	Drama
Kathleen Turner	899	Comedy
Haley Bennett	664	Comedy
Jill Hennessy	419	Comedy
Tichina Arnold	330	Action
Drew Sidora	311	Action
Patrick Fugit	835	Drama
Emily Ratajkowski	625	Drama
Josh Hamilton	147	Action
Nicky Naudé	73	Action
Timothy Hutton	501	Drama
Clarence Williams III	475	Thriller
Peter Krause	576	Comedy
Aria Noelle Curzon	263	Adventure
Eden Riegel	145	Adventure
Anjelica Huston	1000	Comedy
Patrick Fischler	497	Comedy
Fred Ward	459	Crime
Carol Ann Susi	3000	Action
Miriam Margolyes	405	Drama
Jimmy Shubert	82	Action
Alicia Witt	976	Comedy
Woody Allen	11000	Comedy
Anne Bancroft	754	Comedy
Tasha Smith	721	Comedy
Tom Welling	3000	Comedy
Alyson Stoner	2000	Comedy
Ki Hong Lee	988	Action
Rosa Salazar	240	Action
Jaqueline Fleming	357	Action
Jessalyn Gilsig	380	Drama
Billy Burke	2000	Thriller
Jacinda Barrett	579	Drama
Saffron Burrows	811	Drama
Misha Gabriel Hamilton	433	Music
Mekia Cox	208	Documentary
Judith Hill	6	Documentary
Monique Gabriela Curnen	240	Drama
Griffin Kane	175	Drama
Dyan Cannon	257	Comedy
Bill Hunter	226	Action
Dawn French	229	Animation
John Hodgman	57	Animation
Kristen Connolly	751	Thriller
Fred Williamson	767	Comedy
Harvey Korman	628	Comedy
Jake Lloyd	626	Comedy
James Babson	366	Action
Elaine Stritch	586	Comedy
Sophie Okonedo	460	Action
Stockard Channing	944	Romance
Bianca Kajlich	732	Comedy
Oliver Hudson	607	Comedy
Adhir Kalyan	402	Comedy
Ritchie Coster	107	Action
Peter Greene	789	Action
Brenda Bakke	520	Action
Patrick Kilpatrick	488	Action
Colm Feore	539	Drama
Gemma Chan	288	Action
Julian Kostov	864	Action
Gary Dourdan	1000	Sci-Fi
Tate Donovan	650	Drama
Ned Beatty	467	Action
Louis Ferreira	295	Action
Isaac Hempstead Wright	874	Adventure
Tracy Morgan	642	Comedy
Dianne Wiest	967	Drama
Alison Brie	2000	Comedy
Eileen Brennan	1000	Comedy
Treat Williams	642	Comedy
Ryan Gosling	33000	Drama
Wade Williams	300	Action
Xander Berkeley	485	Action
Leleti Khumalo	204	Biography
Michael Weston	379	Drama
Denis O'Hare	896	Drama
Steven Anthony Lawrence	1000	Comedy
Ray Walston	417	Comedy
Michael Lerner	230	Comedy
Blair Brown	310	Action
David Rasche	219	Action
Martin Donovan	206	Thriller
Paul Adelstein	399	Comedy
Julia Duffy	210	Comedy
Ed Lauter	897	Drama
Bojana Novakovic	2000	Thriller
John Kapelos	510	Mystery
Penelope Ann Miller	344	Horror
Chi Muoi Lo	308	Horror
Cathy Moriarty	394	Comedy
Joe Viterelli	236	Comedy
Carrie Preston	652	Drama
Ben Falcone	265	Comedy
Sunny Mabrey	287	Action
Xzibit	218	Thriller
Josh Wingate	865	Action
Alan Dale	441	Fantasy
Jacob Hopkins	77	Action
Adriano Giannini	102	Adventure
Timothy West	82	Adventure
Susanna Thompson	265	Drama
Mia Kirshner	972	Drama
Philip Winchester	579	Action
Michael Irby	507	Drama
Robert Forster	889	Thriller
Wilson Cruz	290	Horror
Vanessa Marshall	68	Horror
Matt Bomer	20000	Drama
Kevin Corrigan	778	Comedy
Kevin Zegers	2000	Horror
Mike O'Malley	400	Adventure
Shawn Christian	196	Adventure
Camryn Manheim	329	Drama
Ariel Gade	87	Drama
Jamie Foreman	466	Adventure
Louis Lombardi	437	Crime
Olivia Munn	2000	Comedy
Ulrich Thomsen	280	Action
Mike Dopud	368	Thriller
Tania Saulnier	102	Action
Aaron Kwok	107	Action
Eddie Peng	22	Action
Clayne Crawford	298	Action
Paolo Montalban	242	Action
Ed Skrein	805	Action
Stefan Kapicic	361	Action
Morgan Fairchild	730	Comedy
Eric McCormack	440	Drama
Leonard Roberts	962	Drama
Keir O'Donnell	318	Action
Odeya Rush	2000	Comedy
Dylan Minnette	1000	Fantasy
Ken Marino	543	Comedy
Nate Richert	870	Comedy
Soleil Moon Frye	558	Comedy
Caroline Rhea	271	Comedy
Willie Garson	512	Comedy
Taylor Negron	1000	Comedy
Kurtwood Smith	1000	Action
Richard Crenna	349	Action
Robert Baker	142	Comedy
Malcolm Goodwin	117	Comedy
Matt Bushell	110	Comedy
Kim Shaw	935	Comedy
Kevin Brown	727	Comedy
Jessica Szohr	847	Comedy
Rob Riggle	839	Comedy
Shawn Roberts	529	Horror
Nate Parker	664	Drama
Tristan Mack Wilds	519	Drama
Cynthia Nixon	479	Comedy
Leighton Meester	3000	Drama
Brian Thompson	663	Action
Terry O'Neill	40	Action
Chris Penn	455	Crime
Spencer Wilding	1000	Thriller
Christopher Lambert	1000	Action
Irene Papas	243	Drama
Mihalis Giannatos	58	Drama
Barry Corbin	883	Drama
Noureen DeWulf	701	Comedy
Brian Austin Green	676	Comedy
Ashley Scott	795	Action
Michael Bowen	348	Action
Siobhan Fallon Hogan	294	Drama
Sam Anderson	194	Comedy
Beth Riesgraf	718	Animation
Matthew Gray Gubler	639	Comedy
Irene Bedard	752	Drama
Margot Kidder	593	Action
Holland Taylor	458	Comedy
Alyson Hannigan	3000	Comedy
Thomas Ian Nicholas	864	Comedy
Chris Mulkey	535	Drama
Michael Chernus	186	Drama
Fred Rogers	419	Comedy
James Wilcox	683	Action
Natasha Richardson	708	Drama
Ricky Schroder	665	Drama
Kurt Fuller	617	Drama
James Karen	168	Drama
Erika Christensen	931	Drama
Haley Ramm	354	Drama
Dylan Baker	812	Drama
David Carradine	926	Action
Chiaki Kuriyama	640	Action
Adam Alexi-Malle	860	Comedy
Christopher Judge	847	Action
Don S. Davis	440	Action
Gary Jones	72	Action
Michael Parks	387	Drama
Jack Palance	549	Action
Brion James	403	Action
Jason Connery	110	Action
Kate Luyben	95	Action
J.T. Walsh	263	Drama
Madeline Carroll	1000	Comedy
Ophelia Lovibond	549	Comedy
Thomas McDonell	962	Adventure
Carlos Ponce	591	Comedy
Charles S. Dutton	534	Horror
Holt McCallany	273	Action
Paul McGann	243	Action
Andrea Corr	57	Biography
Jimmy Nail	40	Biography
Peter Polycarpou	34	Biography
Michael Lonsdale	135	Action
Om Puri	163	Drama
Matt Lucas	722	Comedy
Sally Hawkins	594	Drama
Nicholas Braun	591	Comedy
Jenna Boyd	518	Action
Rex Linn	215	Action
John Ashton	241	Drama
Terence Bernie Hines	390	Comedy
Seymour Cassel	327	Comedy
Russell Tovey	796	Comedy
Ellen Barkin	552	Drama
Miranda Richardson	530	Drama
Paterson Joseph	352	Action
Billy Campbell	789	Drama
Bruce Boxleitner	640	Drama
John Castle	67	Drama
Lauren Holly	879	Action
Tina Fey	2000	Comedy
Hugh Bonneville	518	Adventure
Brady Corbet	287	Drama
Peter Gallagher	828	Drama
David Walton	676	Romance
Denis Lavant	226	Drama
André Dussollier	52	Drama
Albert Dupontel	46	Drama
James Mason	617	Drama
Shelley Winters	367	Crime
Lois Maxwell	177	Action
Tom Berenger	854	Drama
Norman Reedus	12000	Action
Madison Pettis	835	Drama
Jason Momoa	11000	Action
Jon Seda	565	Action
Todd Stashwick	277	Comedy
Billy Gardell	245	Comedy
Amanda Detmer	240	Comedy
Jackie Cooper	420	Action
Todd Giebenhain	117	Comedy
Lenny Venito	62	Comedy
David Backus	43	Comedy
Bernadette Peters	753	Romance
Kylie Minogue	691	Drama
Matt O'Leary	303	Crime
Quentin Tarantino	16000	Thriller
Kimberly Elise	637	Drama
Hill Harper	466	Drama
Kelvin Han Yee	681	Drama
Parker Sawyers	304	Drama
Ann-Margret	931	Comedy
Alice Greczyn	631	Comedy
Jessica Simpson	534	Comedy
Dash Mihok	463	Drama
Mircea Monroe	634	Comedy
Matt Price	134	Comedy
Gerry Becker	27	Biography
Tom Dreesen	21	Biography
Kasia Smutniak	211	Action
Amber Rose Revah	135	Action
Rebecca Dayan	75	Thriller
Victoria Smurfit	343	Action
Tony Cox	624	Comedy
Rob Moran	79	Comedy
Rob Paulsen	677	Animation
Jorge Garcia	1000	Comedy
Alia Shawkat	728	Comedy
Kathleen Freeman	145	Adventure
Chris Miller	50	Adventure
Bobby Block	21	Adventure
Jon Stewart	593	Romance
Bonnie Hunt	597	Comedy
Lupe Ontiveros	625	Comedy
Shirley Knight	285	Drama
Joel Courtney	1000	Mystery
Zach Mills	417	Mystery
Conchata Ferrell	658	Drama
Thomas Lennon	651	Comedy
Craig Roberts	920	Comedy
Danny Masterson	1000	Comedy
Megan Park	569	Comedy
Herbert Russell	701	Drama
Mark L. Young	322	Comedy
James Ransone	412	Drama
Bill Duke	1000	Action
Deborah Kara Unger	495	Drama
Dylan Walsh	426	Drama
Chandler Canterbury	329	Thriller
Sissy Spacek	874	Drama
Mark Christopher Lawrence	258	Animation
Michael Monks	58	Animation
Scoot McNairy	660	Drama
Billy Brown	536	Action
Rupert Graves	443	Drama
Fann Wong	154	Action
Anna-Louise Plowman	131	Action
Georgina Chapman	55	Action
Gemma Jones	171	Crime
Nicola Walker	132	Crime
Cheryl Hines	541	Comedy
Jennifer Esposito	912	Crime
Conrad Goode	477	Crime
Derek Mears	520	Action
Olivier Martinez	838	Drama
Erik Per Sullivan	593	Drama
Chad Lowe	372	Drama
Alex Pettyfer	15000	Drama
Emily Wickersham	348	Action
Reuben Langdon	144	Action
Amr Waked	903	Thriller
Kayvan Novak	414	Drama
James Badge Dale	726	Drama
David Costabile	681	Drama
Ana de la Reguera	679	Comedy
Mary Lynn Rajskub	935	Comedy
Charles Martinet	283	Drama
Alice Krige	368	Adventure
Faizon Love	585	Comedy
Dania Ramirez	1000	Comedy
Michael Cudlitz	822	Action
Alycia Debnam-Carey	298	Action
Scott Lawrence	159	Action
Jon Tenney	289	Comedy
Gilbert R. Hill	174	Action
Robert Picardo	823	Comedy
Phoebe Cates	767	Comedy
Marcel Iures	258	Thriller
Mike Epps	706	Comedy
Celia Imrie	186	Comedy
John Billingsley	323	Drama
Joan Chen	643	Action
Sven-Ole Thorsen	158	Action
Taylor Dooley	717	Action
Virginie Ledoyen	414	Drama
Peter Youngblood Hills	39	Adventure
Shô Kosugi	330	Action
Ben Miles	119	Action
Rain	72	Action
Carmine Giovinazzo	432	Drama
David Jason	325	Crime
Bruce Alexander	7	Crime
John Lyons	5	Crime
Rumer Willis	472	Comedy
Jay Mohr	563	Comedy
Agnes Bruckner	401	Drama
Muse Watson	45000	Thriller
Kelly Rowan	282	Action
Stephen Walters	184	Drama
Richard Brake	163	Crime
Tim Matheson	559	Comedy
Rita Wilson	323	Drama
J.D. Evermore	430	Action
Rachel Roberts	201	Action
Harry Connick Jr.	631	Drama
Tim Daly	511	Drama
Rick Hoffman	581	Action
Valeria Golino	898	Drama
Michelle Forbes	764	Action
Grey Damon	629	Drama
Brittany Curran	512	Mystery
Aaron Hill	398	Drama
M. Emmet Walsh	521	Drama
Donald Watkins	552	Action
Jessica Collins	303	Action
Vanessa Ferlito	923	Comedy
Raza Jaffrey	509	Crime
Paul Brooke	51	Adventure
David Bailie	40	Adventure
Rab Affleck	15	Adventure
Gregory Smith	694	Drama
William Atherton	317	Crime
Lara Flynn Boyle	619	Comedy
Julie Benz	3000	Action
Grant Bowler	600	Action
Ian Ziering	984	Action
Mo'Nique	940	Comedy
Alden Ehrenreich	1000	Drama
Zoey Deutch	852	Drama
Pruitt Taylor Vince	592	Drama
Andrew Wilson	387	Comedy
Willie Nelson	338	Comedy
Robin Shou	342	Action
Josie Ho	77	Action
Gilbert Gottfried	560	Comedy
David Patrick Kelly	380	Action
Tom Sturridge	830	Comedy
Jacob Vargas	399	Drama
James Lew	215	Crime
Alison Doody	440	Action
Guro Nagelhus Schia	35	Drama
Matthew Macfadyen	0	Drama
Leland Orser	308	Thriller
Dwight Yoakam	324	Crime
Mel Rodriguez	237	Crime
P.J. Soles	598	Horror
Lochlyn Munro	555	Comedy
Steve Bacic	235	Horror
Mykelti Williamson	393	Action
Fares Fares	254	Crime
Michael Nardone	194	Crime
Corinna Harney	779	Adventure
Douglas Haase	629	Adventure
Vince Vieluf	261	Comedy
Bradley Whitford	821	Comedy
Brian Doyle-Murray	484	Comedy
Fred Gwynne	886	Crime
Gretchen Mol	600	Drama
Jon Gries	482	Comedy
Keith Hudson	23	Crime
Andy Dick	302	Comedy
Nandita Das	113	Drama
Gulshan Grover	102	Drama
Eric Peterson	59	Drama
Charlie Korsmo	678	Comedy
Faye Dunaway	977	Drama
Adam Garcia	811	Comedy
Alissa Dean	807	Biography
Donatas Banionis	29	Drama
Anatoliy Solonitsyn	29	Drama
Natalya Bondarchuk	12	Drama
Bronagh Gallagher	115	Horror
George Cole	77	Drama
Crystal Lowe	319	Drama
Billy Blair	541	Action
Julia Jones	364	Action
Swoosie Kurtz	418	Romance
Randall 'Tex' Cobb	255	Comedy
Amy Ryan	423	Drama
Olympia Dukakis	345	Drama
Jacqueline Bisset	522	Drama
Luke Grimes	935	Drama
Regina Hall	807	Comedy
Pamela Anderson	780	Comedy
Jenny McCarthy	750	Comedy
Candice Bergen	545	Comedy
Wendy Raquel Robinson	337	Action
Heather Burns	213	Romance
Anita Briem	311	Action
Brad Renfro	551	Crime
Noel Gugliemi	2000	Drama
Patrick Bergin	308	Thriller
Jane Fonda	949	Comedy
Enrico Colantoni	724	Comedy
Robin Sachs	436	Adventure
Eric Jacobson	91	Adventure
Steve Whitmire	84	Comedy
Traci Lords	650	Action
Robert Ri'chard	730	Drama
Matt Malloy	108	Drama
Bruce Altman	67	Drama
Eric Stoltz	902	Drama
Kari Wuhrer	514	Action
Tyra Banks	625	Comedy
Izabella Miko	560	Comedy
Kris Marshall	548	Romance
Madeline Kahn	1000	Comedy
Ian Richardson	140	Horror
Rod Steiger	279	Drama
Emilio Estefan Jr.	20	Action
Lucille Ball	6000	Comedy
Tom Bosley	584	Comedy
Nick Zano	641	Comedy
James Tumminia	443	Action
Joel McHale	734	Comedy
William Lucking	132	Crime
Vincent Kartheiser	845	Drama
Demián Bichir	749	Crime
Shea Whigham	463	Drama
Gary Stretch	404	Crime
Valerie Cruz	216	Action
Will Beinbrink	167	Action
Natalie Imbruglia	304	Action
Ben Miller	252	Action
José Ferrer	202	Adventure
T.V. Carpio	117	Drama
Robert Clohessy	107	Drama
Joe Komara	10000	Drama
David Belle	510	Action
Alexa PenaVega	2000	Action
Keenen Ivory Wayans	322	Comedy
John de Lancie	905	Comedy
Obba Babatundé	451	Comedy
Malese Jow	1000	Comedy
Carter Jenkins	701	Comedy
Costas Mandylor	723	Mystery
Adrien Dorval	44	Crime
Nels Lennarson	19	Crime
Kristy Swanson	579	Comedy
Henry Thomas	861	Drama
Omari Hardwick	1000	Drama
Laz Alonso	826	Drama
Ye Liu	52	Drama
Man Li	10	Drama
Charlie Yeung	68	Action
James With	61	Action
Omar Epps	865	Drama
Marcela Mar	267	Drama
Giovanna Mezzogiorno	202	Drama
Unax Ugalde	50	Drama
Pierre Perrier	164	Drama
Clotilde Hesme	116	Drama
Céline Sallette	114	Drama
Sam Waterston	849	Thriller
Daniel Kaluuya	219	Action
Tim McInnerny	141	Comedy
Togo Igawa	104	Action
Clea DuVall	1000	Drama
Daniel Roebuck	1000	Action
Julia Nickson	738	Action
Martin Kove	668	Action
Mel Blanc	1000	Animation
Dickie Jones	48	Animation
Cliff Edwards	40	Animation
Isabelle Huppert	678	Drama
Daniel Mays	287	Drama
Rob Brown	370	Drama
Michael Nouri	225	Drama
Judith Chapman	44	Comedy
Lillian Adams	28	Comedy
Chelsea Bond	16	Comedy
Wilford Brimley	957	Mystery
Augustus Prew	405	Drama
Charlie Tahan	268	Drama
Valerie Tian	135	Drama
Dax Flame	971	Comedy
Clarke Peters	437	Drama
Dylan Moran	427	Comedy
Julia Sawalha	206	Adventure
Masi Oka	923	Comedy
Geoffrey Holder	547	Comedy
William Xifaras	815	Action
Richard Burton	726	Drama
Roddy McDowall	595	Action
Reggie Lee	828	Action
Charice	491	Action
Mimi Rogers	292	Comedy
David Eigenberg	395	Drama
Bono	468	Comedy
Slash	412	Comedy
Robert Davi	683	Action
Anthony Zerbe	275	Action
Fisher Stevens	922	Comedy
Jeremy Crutchley	43	Thriller
Jared Burke	16	Crime
Tony Chiu Wai Leung	643	Action
Maggie Cheung	576	Drama
Debbie Reynolds	786	Comedy
Randall Park	392	Comedy
Anders Holm	365	Comedy
Dong-gun Jang	489	Action
Jed Brophy	433	Action
Gavin MacLeod	284	Comedy
Bob Hastings	253	Comedy
Dany Boon	172	Comedy
Evan Jones	196	Drama
Jamel Debbouze	326	Comedy
Youssef Hajdi	152	Adventure
Mélissa Theuriau	6	Adventure
Bérénice Bejo	996	Romance
Julian Sands	687	Fantasy
Lee Evans	312	Action
Anthony Chau-Sang Wong	96	Action
Mandy Gonzalez	81	Action
J. Smith-Cameron	54	Action
JoBeth Williams	296	Comedy
William Zabka	641	Action
William Bassett	225	Action
Annabeth Gish	489	Crime
Bruce Campbell	298	Crime
Jeffrey Weissman	869	Adventure
Thomas F. Wilson	690	Comedy
Jerry Ferrara	480	Drama
Scott Elrod	449	Drama
Dan Bilzerian	127	Action
Lori Petty	923	Comedy
Rosie O'Donnell	251	Comedy
Javier Botet	1000	Horror
Dustin Fitzsimons	349	Drama
Marcella Lentz-Pope	81	Biography
Carmen Perez	97	Comedy
Sabrina Revelle	50	Comedy
Sachiko Ishida	49	Comedy
Beau Mirchoff	2000	Comedy
Kelly Rutherford	287	Horror
Roger Jackson	157	Horror
Wendy Crewson	249	Drama
Nadine Velazquez	874	Action
Terry Kinney	363	Drama
Eric Schweig	322	Drama
Curtis Armstrong	876	Drama
Powers Boothe	472	Drama
Jason Douglas	175	Crime
Jane Curtin	257	Comedy
Susan Ward	398	Drama
Sally Kirkland	433	Drama
Jay O. Sanders	256	Drama
Cheryl Penland	4	Drama
Nia Long	826	Comedy
Marisol Nichols	633	Comedy
Matthew Perry	2000	Comedy
Kate Upton	971	Comedy
David Thornton	119	Comedy
Krista Allen	164000	Horror
Andrew Fiscella	137000	Horror
Shantel VanSanten	748	Horror
Joaquim de Almeida	578	Drama
Sam Jaeger	389	Action
Pink	836	Comedy
Mario Lopez	719	Comedy
Lino Facioli	177	Comedy
Nick Cannon	593	Drama
Michael Jai White	2000	Action
Margarita Levieva	980	Crime
Aidan Quinn	767	Drama
Lindsay Sloane	465	Comedy
Paul Scheer	190	Adventure
Jonathan Morgan Heit	91	Adventure
Rudy Youngblood	708	Action
Dalia Hernández	78	Action
Jonathan Brewer	19	Action
Topher Grace	2000	Comedy
Debra Winger	568	Comedy
Roscoe Lee Browne	204	Comedy
Ebon Moss-Bachrach	211	Romance
Gena Rowlands	545	Drama
Deneen Tyler	351	Horror
Joy Bryant	280	Horror
Busy Philipps	1000	Comedy
Beau Garrett	689	Comedy
Johnny Cannizzaro	880	Biography
Steve Schirripa	413	Biography
Scott Vance	235	Biography
Lorraine Bracco	472	Drama
José Wilker	47	Adventure
Sean Connery	0	Adventure
Sam Trammell	1000	Drama
Johnny Lewis	741	Horror
Ian Whyte	473	Action
Macaulay Culkin	3000	Comedy
John Larroquette	450	Comedy
Jonathan Hyde	287	Comedy
Bobby Lee	176	Adventure
Nelson Ascencio	61	Adventure
Jeremy Owen	57	Adventure
Tom Virtue	358	Comedy
Julene Renee	78	Comedy
Aimee Teegarden	741	Drama
Shenae Grimes-Beech	687	Horror
Anthony Heald	173	Thriller
Nat Faxon	214	Comedy
Jesse James	235	Comedy
Emma Bell	703	Horror
Jacqueline MacInnes Wood	682	Horror
Angie Dickinson	754	Thriller
Jimmy Fallon	787	Drama
KaDee Strickland	299	Drama
Ione Skye	223	Drama
Bruce Dinsmore	51	Animation
Melissa Altro	21	Animation
Daniel Brochu	12	Animation
Shaun Weiss	613	Comedy
Thomas Horn	467	Adventure
Stephen Henderson	64	Drama
Noah Bean	293	Comedy
Patti D'Arbanville	117	Comedy
Vanessa Aspillaga	58	Comedy
Anne Archer	249	Thriller
David Fine	1000	Drama
Jesse L. Martin	715	Drama
Jimmy Smits	941	Drama
Angela Bettis	294	Crime
Valerie Perri	322	Comedy
Carlease Burke	210	Comedy
Marco Hofschneider	44	Horror
Catherine Deneuve	964	Drama
Justin Chambers	931	Action
Andrea Frankle	253	Horror
William Ragsdale	135	Horror
David Proval	354	Drama
Cliff Robertson	754	Drama
Lillo Brancato	353	Comedy
Callum Blue	738	Drama
Jesse Borrego	674	Crime
Jaleel White	908	Adventure
John Doman	616	Drama
Mira Sorvino	978	Drama
Steven Weber	685	Drama
Dane Cook	1000	Comedy
Bobbie Phillips	16000	Drama
Elizabeth Berkley	893	Comedy
Lauren Lee Smith	351	Action
Geraldine Chaplin	382	Drama
Oaklee Pendergast	284	Drama
Carol Kane	636	Comedy
Isabelle Adjani	572	Comedy
James Gammon	311	Comedy
Richard Epcar	782	Comedy
Patricia Heaton	402	Comedy
Mathieu Kassovitz	326	Comedy
Isabelle Nanty	54	Comedy
Mary-Kate Olsen	976	Romance
Bob Saget	799	Comedy
Riley Smith	762	Comedy
Andrew Daly	171	Romance
Jonathan Jackson	613	Drama
Jeffrey Combs	886	Thriller
Jason Robards	372	Drama
Eddie Rouse	61	Action
Tim Guinee	259	Drama
Bridgette Wilson-Sampras	545	Thriller
Matt Ross	248	Comedy
John Aylward	219	Comedy
Troy Garity	167	Adventure
John Gatins	61	Comedy
Lou Saliba	46	Comedy
Greg Collins	39	Comedy
Kelly Ripa	379	Adventure
Jasmine Trinca	87	Action
Ashley Walters	173	Action
Sarah Roemer	884	Drama
Aaron Yoo	617	Drama
James Brolin	499	Comedy
Zan Marolt	3	Adventure
Ljubomir Kerekes	2	Adventure
John Mahoney	385	Comedy
Takeshi Kaneshiro	755	Action
Andy Lau	483	Action
Kuno Becker	580	Drama
