Movie	title_year	duration	gross	genres	plot_keywords	language	content_rating	budget	country	aspect_ratio	color	movie_imdb_link	imdb_score	num_critic_for_reviews	num_user_for_reviews	num_voted_users	facenumber_in_poster	director_facebook_likes	cast_total_facebook_likes	movie_facebook_likes
Hollywood Homicide	2003	116	30013346	Action	audition|kissing while having sex|machismo|murder|sex	English	PG-13	75000000	USA	2.35	Color	http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1	5.3	132	254	31293	2	41	14028	648
Soldier	1998	99	14567883	Action	crash survivor|planet|sergeant|soldier|survivor	English	R	75000000	UK	2.35	Color	http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1	6.0	67	373	44248	1	545	2542	0
Carriers	2009	84	90820	Drama	beach|disease|latex gloves|pandemic|virus	English	PG-13		USA	2.35	Color	http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1	6.0	130	119	35510	0	10	4368	0
Monkeybone	2001	93	5409517	Animation	carnival|coma|death|monkey|nightmare	English	PG-13	75000000	USA	1.85	Color	http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1	4.7	74	171	14280	0	253	5580	683
Flight of the Phoenix	2004	113	21009180	Action	captain|desert|rescue|stranded|survivor	English	PG-13	45000000	USA	2.35	Color	http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1	6.1	114	222	45815	4	212	4397	1000
Unbreakable	2000	106	94999143	Drama	child with gun|comic book|invulnerability|superhero|train crash	English	PG-13	75000000	USA	2.35	Color	http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1	7.2	294	1344	245152	0	0	33645	0
Minions	2015	91	336029560	Action	antarctica|minion|queen|super villain|villain	English	PG	74000000	USA	1.85	Color	http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1	6.4	308	275	142403	0	22	13616	70000
Sucker Punch	2011	128	36381716	Action	alternate reality|escape|girl gang|prostitution|samurai	English	PG-13	82000000	USA	2.35	Color	http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1	6.1	435	918	197584	4	0	7067	42000
Snake Eyes	1998	98	55585389	Crime	assassination|boxing|casino|conspiracy|long take	English	R	69000000	USA	2.35	Color	http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1	5.9	117	241	64121	1	0	15269	880
Sphere	1998	134	36976367	Drama	manifestation|ocean|spacecraft|spaceship|sphere	English	PG-13	75000000	USA	2.35	Color	http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1	6.0	108	274	81611	3	272	1044	0
The Angry Birds Movie	2016	97	107225164	Action	butt|downward duck|fish|kingfisher|pig	English	PG	73000000	USA	1.85	Color	http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1	6.3	141	126	27130	0	6	24350	14000
Fool's Gold	2008	112	70224196	Action	debt|rapper|treasure|treasure hunter|yacht	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1	5.6	176	138	59352	0	72	13827	0
Funny People	2009	153	51814190	Comedy	breasts|comedian|craigslist|infidelity|stand up comedian	English	R	75000000	USA	1.85	Color	http://www.imdb.com/title/tt1201167/?ref_=fn_tt_tt_1	6.4	230	301	100837	1	0	11852	0
The Kingdom	2007	110	47456450	Action	al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1	7.1	234	289	101386	1	532	5187	0
Talladega Nights: The Ballad of Ricky Bobby	2006	122	148213377	Action	car racing|french|friend|nascar|racing	English	PG-13	73000000	USA	2.35	Color	http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1	6.6	164	437	130776	5	285	12410	0
Dr. Dolittle 2	2001	87	112950721	Comedy	bear|doctor|false accusation|man with glasses|second part	English	PG	72000000	USA	2.35	Color	http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1	4.6	91	79	33884	0	41	3287	266
Braveheart	1995	178	75600000	Biography	14th century|legend|revolt|scotland|tyranny	English	R	72000000	USA	2.35	Color	http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1	8.4	132	1065	736638	1	0	1976	17000
Jarhead	2005	125	62647540	Action	american abroad|gulf war|u.s. military|u.s. soldier|usmc	English	R	70000000	Germany	2.35	Color	http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1	7.1	262	657	143525	0	0	15850	0
The Simpsons Movie	2007	87	183132370	Adventure	alaska|dome|lake|pig|the simpsons	English	PG-13	75000000	USA	2.35	Color	http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1	7.4	299	763	259083	0	30	3086	0
The Majestic	2001	152	27796042	Drama	amnesia|california|communist|small town|writer	English	PG	72000000	USA	1.85	Color	http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1	6.9	128	376	45031	1	0	4310	0
Driven	2001	116	32616869	Action	car race|german|race car|race car driver|rookie	English	PG-13	72000000	USA	2.35	Color	http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1	4.5	109	346	34435	0	212	14780	886
Two Brothers	2004	109	18947630	Adventure	circus|death of protagonist|jungle|killing an animal|tiger	English	PG	59660000	France	2.35	Color	http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1	7.1	88	124	11798	0	218	55	2000
The Village	2004	108	114195633	Drama	creature|pact|plot twist|village|woods	English	PG-13	60000000	USA	1.85	Color	http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1	6.5	261	2003	193770	0	0	7273	0
Doctor Dolittle	1998	85	144156464	Comedy	box office hit|doctor|dog|first part|tiger	English	PG-13	71500000	USA	1.85	Color	http://www.imdb.com/title/tt0118998/?ref_=fn_tt_tt_1	5.3	73	98	74343	0	84	4166	694
Signs	2002	106	227965690	Drama	crop circle|faith|farm|glass of water|loss of faith	English	PG-13	72000000	USA	1.85	Color	http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1	6.7	208	2335	271592	0	0	1675	0
Shrek 2	2004	93	436471036	Adventure	drag queen|physical appearance|princess|queen|sequel	English	PG	150000000	USA	1.85	Color	http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1	7.2	205	483	314630	1	80	1148	0
Cars	2006	117	244052771	Adventure	car|desert|route 66|tow truck|truck	English	G	120000000	USA	2.35	Color	http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1	7.2	256	584	263853	0	487	4905	0
Runaway Bride	1999	116	152149590	Comedy	bride|columnist|journalist|maryland|wedding	English	PG	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1	5.5	103	255	74274	2	0	12790	0
xXx	2002	132	141204016	Action	agent|nsa|nsa agent|prague|russian	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1	5.8	191	737	142569	0	357	14790	10000
The SpongeBob Movie: Sponge Out of Water	2015	92	162495848	Adventure	book|magic|pirate|plankton|time machine	English	PG	74000000	USA	1.85	Color	http://www.imdb.com/title/tt2279373/?ref_=fn_tt_tt_1	6.0	147	133	34359	0	5	5217	16000
Ransom	1996	139	136448821	Crime	bounty|fbi|millionaire|money|ransom	English	R	80000000	USA	1.85	Color	http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_1	6.6	79	158	98989	1	2000	3667	1000
Inglourious Basterds	2009	153	120523073	Adventure	france|german|nazis|revenge|scalping	English	R	75000000	USA	2.35	Color	http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1	8.3	486	1527	885175	1	16000	36741	42000
Hook	1991	142	119654900	Adventure	1990s|caught in a net|children|duel|hero	English	PG	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1	6.7	75	363	182802	1	14000	64259	13000
Die Hard 2	1990	124	117541000	Action	airport|fuel|plane|police|terrorist	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0099423/?ref_=fn_tt_tt_1	7.1	142	316	269858	0	212	16595	0
S.W.A.T.	2003	117	116643346	Action	hostage|police|prison|swat team|training	English	PG-13	80000000	USA	2.35	Color	http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1	6.0	144	340	119807	1	69	14486	0
Sleepy Hollow		45		Adventure	apocalypse|death|husband wife relationship|mother son relationship|murder	English	TV-14		USA	16.0	Color	http://www.imdb.com/title/tt2647544/?ref_=fn_tt_tt_1	7.5	39	110	49049	0		1430	14000
Vanilla Sky	2001	141	100614858	Fantasy	death|dream|love|lynchian|reality	English	R	68000000	USA	1.85	Color	http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1	6.9	153	1248	206776	1	488	11458	0
Lady in the Water	2006	110	42272747	Drama	apartment|bedtime story|eagle|stuttering|swimming pool	English	PG-13	70000000	USA	1.85	Color	http://www.imdb.com/title/tt0452637/?ref_=fn_tt_tt_1	5.6	284	1040	78635	1	0	5609	0
AVP: Alien vs. Predator	2004	109	80281096	Action	alien|antarctica|predator|pyramid|satellite	English	PG-13	60000000	USA	2.35	Color	http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1	5.6	247	1283	143628	0	545	3222	0
Alvin and the Chipmunks: The Squeakquel	2009	88	219613391	Animation	adidas|chipmunk|hospital|school|waste container	English	PG	75000000	USA	1.85	Color	http://www.imdb.com/title/tt1231580/?ref_=fn_tt_tt_1	4.5	107	98	31649	0	84	5227	2000
We Were Soldiers	2002	124	78120196	Action	air cavalry|battle|major|soldier|vietnamese	English	R	75000000	USA	2.35	Color	http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1	7.1	141	742	103241	0	130	6181	5000
Olympus Has Fallen	2013	119	98895417	Action	political thriller|politics|president|speaker of the house|u.s. president	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt2302755/?ref_=fn_tt_tt_1	6.5	358	698	203154	3	845	31782	45000
Star Trek: Insurrection	1998	103	70117571	Action	alien|captain|commander|conspiracy|planet	English	PG	58000000	USA	2.35	Color	http://www.imdb.com/title/tt0120844/?ref_=fn_tt_tt_1	6.4	160	515	56741	0	906	6207	1000
Battle Los Angeles	2011	116	83552429	Action	alien|extraterrestrial|invasion|marine|mission	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt1217613/?ref_=fn_tt_tt_1	5.8	355	800	154955	0	473	4001	25000
Big Fish	2003	125	66257002	Adventure	dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman	English	PG-13	70000000	USA	1.37	Color	http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1	8.0	235	816	350698	0	13000	16138	26000
Wolf	1994	125	65012000	Drama	blood|publisher|publishing house|werewolf|wolf	English	R	70000000	USA	1.85	Color	http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1	6.2	59	137	43559	1	0	1439	0
War Horse	2011	146	79883359	Drama	barbed wire|british|cavalry|horse|world war one	English	PG-13	66000000	USA	2.35	Black and White	http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1	7.2	388	488	116159	1	14000	46726	28000
The Monuments Men	2014	118	78031620	Drama	art|art expert|nazi stolen art|soldier|world war two	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt2177771/?ref_=fn_tt_tt_1	6.1	371	403	102248	7	0	27674	34000
The Abyss	1989	171	54222000	Adventure	alien|estranged couple|ocean|submarine|underwater	English	PG-13	69500000	USA	2.35	Color	http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1	7.6	82	380	131217	0	0	4074	0
Wall Street: Money Never Sleeps	2010	136	52474616	Drama	corporate greed|crisis|economy|greed|mentor	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1	6.3	297	245	84118	2	0	1579	13000
Dracula Untold	2014	92	55942830	Action	death of wife|dracula|tarantula|turk|vampire	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1	6.3	261	423	138582	1	28	5178	37000
The Siege	1998	116	40932372	Action	abduction|martial law|military|new york city|terrorist	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1	6.3	120	281	58023	0	380	32563	0
Stardust	2007	127	38345403	Adventure	king|magic|one word title|pirate|village	English	PG-13	70000000	UK	2.35	Color	http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1	7.7	228	492	212085	8	905	16034	15000
Seven Years in Tibet	1997	136	37901509	Adventure	austria|dalai lama|himalaya|mountain|tibet	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1	7.0	76	119	96385	1	218	12226	0
The Dilemma	2011	111	48430355	Comedy	best friend|friend|investigation|secret|two word title	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1	5.3	185	141	43709	2	2000	18510	0
Bad Company	2002	116	30157016	Action	cia|cia agent|terrorist|twin|twin brother	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1	5.6	128	189	39659	2	541	12993	792
Doom	2005	113	28031250	Action	commando unit|extra chromosome|first person shooter|special forces|teleportation	English	R	60000000	UK	2.35	Color	http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1	5.2	237	814	88146	0	43	13517	0
I Spy	2002	97	33105600	Action	boxer|espionage|spy|stealth|top secret	English	PG-13	70000000	USA	1.37	Color	http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1	5.4	105	141	41663	1	84	1576	531
Underworld: Awakening	2012	88	62321039	Action	battle|cryogenics|detective|scientist|vampire	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1	6.4	242	271	117096	1	24	5861	24000
Rock of Ages	2012	136	38509342	Comedy	concert|love|music industry|panties|pole dancer	English	PG-13	75000000	USA	2.35	Color	http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1	5.9	360	356	61995	7	163	712	33000
Hart's War	2002	125	19076815	Drama	colonel|honor|lieutenant|pilot|racism	English	R	60000000	USA	2.35	Color	http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1	6.3	112	196	43651	0	40	15916	997
Killer Elite	2011	116	25093607	Action	australia|death|mentor|revenge|secret society	English	R	35000000	UK	2.35	Color	http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1	6.5	189	157	105556	2	5	49608	17000
Rollerball	2002	98	18990542	Action	ball|blood|skating|song|year 2005	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1	3.0	151	289	22264	3	323	2763	584
Ballistic: Ecks vs. Sever	2002	91	14294842	Action	blood splatter|camera shot from inside human body|combat|die hard scenario|fbi	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1	3.6	92	277	16761	1	8	1846	391
Hard Rain	1998	97	19819494	Action	dam|flood|money|police|sheriff	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1	5.8	79	126	26893	0	13	13628	815
Osmosis Jones	2001	95	13596911	Action	blood|body|egg|virus|white blood cell	English	PG	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1	6.2	81	123	25572	0	101	3734	2000
Legends of Oz: Dorothy's Return	2013	88	8460990	Adventure	jester|kansas|oz|princess|tornado	English	PG	70000000	USA		Color	http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1	5.6	51	54	5116	1	6	6946	5000
Blackhat	2015	133	7097125	Action	chinese|computer|cybercrime|hacker|one word title	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1	5.4	261	207	38983	1	0	28129	11000
Sky Captain and the World of Tomorrow	2004	106	37760080	Action	captain|pilot|reporter|robot|scientist	English	PG	70000000	USA	1.85	Color	http://www.imdb.com/title/tt0346156/?ref_=fn_tt_tt_1	6.1	197	618	72868	2	14	12871	0
Basic Instinct 2	2006	116	5851188	Crime	drugs|murder|psychiatrist|scotland yard|sex	English	R	70000000	UK	2.35	Color	http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1	4.2	159	313	31124	1	105	1899	764
Escape Plan	2013	115	25121291	Action	cia agent|escape|muslim|prison|ship	English	R	50000000	USA	2.35	Color	http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1	6.7	286	279	177653	1	101	15708	34000
The Legend of Hercules	2014	99	18821279	Action	ancient greece|forbidden love|hercules|king|slavery	English	PG-13	70000000	USA	2.35	Color	http://www.imdb.com/title/tt1043726/?ref_=fn_tt_tt_1	4.2	156	202	44891	0	212	1520	12000
The Sum of All Fears	2002	124	118471320	Action	analyst|cia|nuclear bomb|nuclear weapons|russia	English	PG-13	68000000	USA	2.35	Color	http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1	6.4	176	568	86504	0	31	12556	0
The Twilight Saga: Eclipse	2010	124	300523113	Adventure	friendship|graduation|revenge|vampire|werewolf	English	PG-13	68000000	USA	2.35	Color	http://www.imdb.com/title/tt1325004/?ref_=fn_tt_tt_1	4.9	293	498	184637	3	171	52547	29000
The Score	2001	124	71069884	Crime	partner|running|scepter|surveillance|thief	English	R	68000000	USA	2.35	Color	http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1	6.8	141	445	101899	0	0	32871	0
Despicable Me	2010	87	251501645	Animation	girl|minion|moon|pyramid|white picket fence	English	PG	69000000	USA	1.85	Color	http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1	7.7	304	296	385943	0	275	11608	31000
Money Train	1995	105	35324232	Action	bare breasts|breast|loan shark|subway|train	English	R	68000000	USA	2.35	Color	http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1	5.6	40	62	32224	1	29	1132	617
Ted 2	2015	125	81257500	Comedy	baby|f word|fight|lawyer|marriage	English	R	68000000	USA	2.35	Color	http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1	6.4	280	229	117739	0	3000	30010	30000
Agora	2009	141	617840	Adventure	christian|love|philosophy|prefect|slave	English	R	70000000	Spain	2.35	Color	http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1	7.2	180	172	52496	2	448	1829	29000
Mystery Men	1999	121	29655590	Action	bowling|rajah|sphinx|spleen|superhero	English	PG-13	65000000	USA	1.85	Color	http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1	6.0	125	435	53970	4	18	3986	0
Hall Pass	2011	111	45045037	Comedy	drugged food|female frontal nudity|male frontal nudity|male nudity|marriage	English	R	36000000	USA	2.35	Color	http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1	5.9	237	143	103230	3	101	3393	10000
The Insider	1999	157	28965197	Biography	cbs|cbs news|research|tobacco|whistleblower	English	R	68000000	USA	2.35	Color	http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1	7.9	209	521	133526	1	0	18216	0
The Finest Hours	2016	117	27550735	Action	1950s|coast guard|oil tanker|sinking ship|survival	English	PG-13		USA	2.35	Color	http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1	6.8	178	113	27481	0	44	3524	12000
Body of Lies	2008	128	39380442	Action	cia|jordan|middle east|spy|terrorist	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1	7.1	238	263	174248	1	0	29824	0
Dinner for Schmucks	2010	114	72980108	Comedy	dinner|diorama|idiot|irs|mouse	English	PG-13		USA	1.85	Color	http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1	5.9	190	264	80338	2	116	10419	0
Abraham Lincoln: Vampire Hunter	2012	105	37516013	Action	chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter	English	R	69000000	USA	2.35	Color	http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1	5.9	393	348	128629	0	335	8281	98000
Entrapment	1999	113	87704396	Action	art thief|insurance|mask|master thief|reference to iron maiden	English	PG-13	66000000	USA	2.35	Color	http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1	6.2	138	274	88132	1	36	1302	0
Last Man Standing		30		Comedy	family relationships|husband wife relationship|live studio audience|sitcom|three word title	English	TV-PG		USA	16.0	Color	http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1	7.4	4	87	15114	1		2465	0
The X Files	1998	121	83892374	Drama	agent|alien|bomb|fbi|government	English	PG-13	66000000	USA	2.35	Color	http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1	7.0	142	297	85720	0	38	4230	0
The Last Legion	2007	102	5932060	Action	5th century|boy|capri|roman legion|soldier	English	PG-13	35000000	UK	2.35	Color	http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1	5.4	90	174	29285	0	4	14625	0
Saving Private Ryan	1998	169	216119491	Action	army|invasion|killed in action|normandy|soldier	English	R	70000000	USA	1.85	Color	http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1	8.6	219	2277	881236	2	14000	44998	22000
Need for Speed	2014	132	43568507	Action	cross country|custom car|illegal street racing|police officer crushed|street racing	English	PG-13	66000000	USA	2.35	Color	http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1	6.5	327	346	136954	1	76	7081	32000
What Women Want	2000	127	182805123	Comedy	advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy	English	PG-13	70000000	USA	1.37	Color	http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1	6.4	149	395	158864	1	278	5838	0
Ice Age	2002	103	176387405	Adventure	baby|ice|ice age|sleeping|sloth	English	PG	59000000	USA	1.85	Color	http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1	7.6	193	467	328159	0	77	5437	3000
Dreamcatcher	2003	136	33685268	Drama	alien|friend|maine|military|woods	English	R	68000000	USA	2.35	Color	http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1	5.5	175	662	75573	1	759	12194	4000
Lincoln	2012	150	182204440	Biography	cultural conflict|politics|president|slavery|u.s. president	English	PG-13	65000000	USA	2.35	Color	http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1	7.4	538	720	197412	0	14000	25517	71000
The Matrix	1999	136	171383253	Action	artificial reality|computer|matrix|questioning reality|simulated reality	English	R	63000000	USA	2.35	Color	http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1	8.7	313	3646	1217752	3	0	18563	25000
Apollo 13	1995	140	172071312	Adventure	cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space	English	PG	62000000	USA	2.35	Color	http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1	7.6	159	296	208817	0	2000	17171	5000
The Santa Clause 2	2002	104	139225854	Comedy	christmas|magic|santa claus|son|toy	English	G	60000000	USA	1.85	Color	http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1	5.5	80	116	34561	0	54	5265	1000
Les Misérables	2012	158	148775460	Drama	barricade|innkeeper|parole|rebellion|student	English	PG-13	61000000	USA	1.85	Color	http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1	7.6	488	845	243834	1	0	46204	144000
You've Got Mail	1998	119	115731542	Comedy	bookstore|competing businesses|instant messaging|new york city|shop owner	English	PG	65000000	USA	1.85	Color	http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1	6.5	153	556	151812	2	0	17768	0
Step Brothers	2008	106	100468793	Comedy	dream|friendship|karaoke|love|slacker	English	R	65000000	USA	2.35	Color	http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1	6.9	173	277	212499	2	285	11264	0
The Mask of Zorro	1998	136	93771072	Action	19th century|california|revenge|training|zorro	English	PG-13	65000000	USA	2.35	Color	http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1	6.7	156	318	135404	0	258	12396	0
Due Date	2010	95	100448498	Comedy	actor|aspiring actor|birth|misadventure|suitcase	English	R	65000000	USA	2.35	Color	http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1	6.6	307	285	272789	3	480	23018	25000
Unbroken	2014	137	115603980	Biography	emaciation|male nudity|plane crash|prisoner of war|torture	English	PG-13	65000000	USA	2.35	Color	http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1	7.2	322	351	103589	0	11000	2938	35000
Space Cowboys	2000	130	90454043	Action	nasa|old age|satellite|space|space shuttle	English	PG-13	65000000	USA	2.35	Black and White	http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1	6.4	169	326	60165	1	16000	17771	0
Cliffhanger	1993	124	84049211	Action	money|mountain|rocky mountains|snow|suitcase	English	R	70000000	USA	2.35	Color	http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1	6.4	74	172	96096	1	212	15229	0
Broken Arrow	1996	108	70450000	Action	captain|desert|major|park ranger|utah	English	R	50000000	USA	2.35	Color	http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1	6.0	72	189	77390	2	610	2913	0
The Kid	2000	104	69688384	Comedy	altering history|cartoon on tv|childhood|image consultant|one two combo	English	PG	60000000	USA	1.85	Color	http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1	6.1	86	139	34473	1	226	16452	0
World Trade Center	2006	129	70236496	Drama	based on true story|police|rescue|rubble|trapped	English	PG-13	63000000	USA	1.85	Color	http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1	6.0	242	564	67395	0	0	14421	0
Mona Lisa Smile	2003	117	63695760	Drama	art|college|school|student|wellesley college	English	PG-13	65000000	USA	1.85	Color	http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1	6.4	141	264	61490	1	179	12850	0
The Dictator	2012	99	59617068	Comedy	dictator|hotel|oil|overalls|sunglasses	English	R	65000000	USA	2.35	Color	http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1	6.4	313	310	213863	0	119	1375	59000
Eyes Wide Shut	1999	159	55637680	Drama	doctor|orgy|party|pianist|sexual fantasy	English	R	65000000	UK	1.66	Color	http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1	7.3	280	1500	227071	1	0	11424	10000
Annie	2014	118	85911262	Comedy	billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek	English	PG	65000000	USA	2.39	Color	http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1	5.2	176	213	24735	6	87	4796	16000
Focus	2015	105	53846915	Comedy	con artist|con man|deception|rivalry|seduction	English	R	50100000	USA	1.85	Color	http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1	6.6	279	221	149337	0	43	11943	23000
This Means War	2012	103	54758461	Action	best friend|cia|cia agent|dating|undercover	English	PG-13	65000000	USA	2.35	Color	http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1	6.3	241	238	147641	3	368	29808	18000
Blade: Trinity	2004	122	52397389	Action	blade|blood|dracula|vampire hunter|vampire slayer	English	R	65000000	USA	2.35	Color	http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1	5.9	185	514	132954	0	687	19764	0
Red Dawn	1984	114		Action	guerrilla|high school|invasion|soviet|wolverine	English	PG-13	16900000	USA	1.85	Color	http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1	6.4	97	383	41776	0	468	3860	0
Primary Colors	1998	143	38966057	Comedy	campaigning|candidate|election|governor|president	English	R	65000000	France	2.35	Color	http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1	6.7	117	157	23940	0	0	1409	688
